Treatment,Time,Individual,Rep,Row/dilution,Col count,Avg Col count,,Dilution factor,Plating dilution ,CFU/mL,Averages per individual,Log10,,,Avg (CFU),log10,stdev,stdev log10,,,Avg (CFU),log10,stdev,stdev log10
FlagK,24h,1,1,,0,0,,,,,,,,Flagk 24H,5012820.51,6.70,4.29E+06,6.63,,WT 24H,9.34E+06,6.97,1.46E+07,7.16
FlagK,24h,1,2,,0,0,,,,,,,,Flagk 48H,11481481.48,7.06,7.62E+06,6.88,,WT 48H,9.80E+06,6.99,6959594.585,6.84
FlagK,24h,2,1,3,15,13,,0.001,0.003,5000000.00,4.33E+06,6.636822098,,,,,,,,,,,,
FlagK,24h,2,2,3,11,13,,0.001,0.003,3666666.67,,,,,,,,,,,,,,
FlagK,24h,3,1,3,6,6.5,,0.001,0.003,2000000.00,2.17E+06,6.335792102,,,,,,,,,,,,
FlagK,24h,3,2,3,7,6.5,,0.001,0.003,2333333.33,,,,,,,,,,,,,,
FlagK,24h,4,1,3,4,5,,0.001,0.003,1333333.33,1.67E+06,6.22184875,,Average,,,,,,,,,,
FlagK,24h,4,2,3,6,5,,0.001,0.003,2000000.00,,,,,24H,48H,,,,,,,,
FlagK,24h,5,1,3,13,14,,0.001,0.003,4333333.33,4.67E+06,6.669006781,,WT,6.97,6.99,,,,,,,,
FlagK,24h,5,2,3,15,14,,0.001,0.003,5000000.00,,,,FlagK,6.70,7.06,,,,,,,,
FlagK,24h,6,1,3,9,9,,0.001,0.003,3000000.00,3.00E+06,6.477121255,,,,,,,,,,,,
FlagK,24h,6,2,3,9,9,,0.001,0.003,3000000.00,,,,,,,,,,,,,,
FlagK,24h,7,1,3,14,13,,0.001,0.003,4666666.67,4.33E+06,6.636822098,,StDev,,,,,,,,,,
FlagK,24h,7,2,3,12,13,,0.001,0.003,4000000.00,,,,,24H,48H,,,,,,,,
FlagK,24h,8,1,3,12,12,,0.001,0.003,4000000.00,4.00E+06,6.602059991,,WT,7.16,6.84,,,,,,,,
FlagK,24h,8,2,3,12,12,,0.001,0.003,4000000.00,,,,FlagK,6.63,6.88,,,,,,,,
FlagK,24h,9,1,4,2,4,,0.0001,0.003,6666666.67,1.33E+07,7.124938737,,,,,,,,,,,,
FlagK,24h,9,2,4,6,4,,0.0001,0.003,20000000.00,,,,,,,,,,,,,,
FlagK,24h,10,1,3,5,4.5,,0.001,0.003,1666666.67,1.50E+06,6.176091259,,,,,,,,,,,,
FlagK,24h,10,2,3,4,4.5,,0.001,0.003,1333333.33,,,,,,,,,,,,,,
FlagK,24h,11,1,3,13,7,,0.001,0.003,4333333.33,3.83E+06,6.583576586,,,,,,,,,,,,
FlagK,24h,11,2,4,1,7,,0.0001,0.003,3333333.33,,,,Percent of Aphids Infected,,,,,,,,,,
FlagK,24h,12,1,3,4,4.5,,0.001,0.003,1333333.33,1.50E+06,6.176091259,,,24H,48H,,,,,,,,
